stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,minorityInterest,otherOperatingExpenses,discontinuedOperations
XXII,2020-03-31,-4028000.0,-4028000.0,152000,6771000,11200000,7058000,38000,-12000.0,-4142000.0,-4142000,287000,3141000.0,-4028000,-3990000.0,960000.0,,,
XXII,2019-12-31,-6198431.0,-6198431.0,-644485,7037256,12815935,7261989,0,-19832.0,-5553946.0,-5553946,224733,3838327.0,-6198431,-6198431.0,1626409.0,,,
XXII,2019-09-30,-10245717.0,-10245717.0,-4503550,6482982,12204081,6461914,0,-12795.0,-5742167.0,-5742167,-21068,3338005.0,-10245717,-10245717.0,1992687.0,,,
XXII,2019-06-30,-8041682.0,-8041682.0,-3012843,5901279,10843818,5814979,0,-13095.0,-5028839.0,-5028839,-86300,2585883.0,-8041682,-8041682.0,1986608.0,,,
ABTX,2020-03-31,3516000.0,3516000.0,-1622000,0,30779000,36760000,843000,,5981000.0,0,36760000,25891000.0,3516000,4359000.0,,,4888000.0,
ABTX,2019-12-31,13986000.0,13986000.0,-2791600,0,26639400,46993000,3576000,,20353600.0,0,46993000,23472400.0,13986000,17562000.0,,,3167000.0,
ABTX,2019-09-30,12047000.0,12047000.0,-1138400,0,28870600,45129000,3073000,,16258400.0,0,45129000,26643600.0,12047000,15120000.0,,,2227000.0,
ABTX,2019-06-30,14248000.0,14248000.0,-2133000,0,27947000,48009000,3681000,,20062000.0,0,48009000,25606000.0,14248000,17929000.0,,,2341000.0,
NATH,2019-12-29,1213000.0,1213000.0,-2724000,13599000,17079000,21376000,360000,-2650000.0,4297000.0,4297000,7777000,3186000.0,1213000,1573000.0,,,,
NATH,2019-09-29,3658000.0,3658000.0,-2263000,18464000,22360000,29726000,1445000,-2651000.0,7366000.0,7366000,11262000,3559000.0,3658000,5103000.0,,,,
NATH,2019-06-30,5369000.0,5369000.0,-2242000,16779000,21091000,30518000,1816000,-2650000.0,9427000.0,9427000,13739000,4002000.0,5369000,7185000.0,,,,
NATH,2019-03-31,2492000.0,2492000.0,-2434000,12869000,16616000,22129000,587000,-2841000.0,5513000.0,5513000,9260000,3497000.0,2492000,3079000.0,,,,
EGBN,2020-03-31,23123000.0,23123000.0,-1424000,0,35923000,68792000,8322000,,32869000.0,0,68792000,32180000.0,23123000,31445000.0,,,3743000.0,
EGBN,2019-12-31,35456000.0,35456000.0,-879000,0,33847000,84499000,14317000,,50652000.0,0,84499000,30312000.0,35456000,49773000.0,,,3535000.0,
EGBN,2019-09-30,36495000.0,36495000.0,-2085000,0,31388000,84117000,14149000,,52729000.0,0,84117000,27616000.0,36495000,50644000.0,,,3772000.0,
EGBN,2019-06-30,37243000.0,37243000.0,-1126000,0,32233000,84089000,13487000,,51856000.0,0,84089000,28006000.0,37243000,50730000.0,,,4227000.0,
PUK,2019-12-31,-624988975.0,383824018.0,-59643765,18132327852,19514932381,19979052240,20652076,-108341037.0,464119859.0,464119859,1846724389,1336729984.0,-624988975,404476094.0,,192000000.0,45874545.0,-1007624032.0
PUK,2019-09-30,-552487996.0,426096576.0,-64697580,19904799663,21375019382,21896903865,31090328,-119015448.0,521884483.0,521884483,1992104201,1420377693.0,-552487996,457186903.0,,192000000.0,49842025.0,-977159451.0
PUK,2019-06-30,767500000.0,447500000.0,-53500000,18763500000,19691000000,20302500000,110500000,-113000000.0,611500000.0,611500000,1539000000,885500000.0,767500000,558000000.0,,23000000.0,42000000.0,322500000.0
PUK,2019-03-31,767500000.0,447500000.0,-53500000,18763500000,19691000000,20302500000,110500000,-113000000.0,611500000.0,611500000,1539000000,885500000.0,767500000,558000000.0,,23000000.0,42000000.0,322500000.0
TSLX,2020-03-31,-53099000.0,-53099000.0,-99671000,0,18688000,66270000,1010000,-3729000.0,47582000.0,47582000,66270000,18688000.0,-53099000,-52089000.0,,,,
TSLX,2019-12-31,37702000.0,37702000.0,-9504000,0,18426000,66532000,900000,-15160000.0,48106000.0,48106000,66532000,18426000.0,37702000,38602000.0,,,,
TSLX,2019-09-30,30341000.0,30341000.0,-18972000,0,19187000,70050000,1550000,-11065000.0,50863000.0,50863000,70050000,19187000.0,30341000,31891000.0,,,,
TSLX,2019-06-30,47795000.0,47795000.0,3929000,0,17561000,62427000,1000000,-6600000.0,44866000.0,44866000,62427000,17561000.0,47795000,48795000.0,,,,
LOGC,2020-03-31,-9455000.0,-9455000.0,-111000,0,10365000,1021000,0,-272000.0,-9344000.0,-9344000,1021000,3192000.0,-9455000,-9455000.0,7173000.0,,,
LOGC,2019-12-31,-11465000.0,-11465000.0,-33000,0,11432000,0,0,-275000.0,-11432000.0,-11432000,0,3054000.0,-11465000,-11465000.0,8378000.0,,,
LOGC,2019-09-30,-10918000.0,-10918000.0,115000,0,11033000,0,0,-271000.0,-11033000.0,-11033000,0,2175000.0,-10918000,-10918000.0,8858000.0,,,
LOGC,2019-06-30,-10048000.0,-10048000.0,410000,0,10458000,0,0,-271000.0,-10458000.0,-10458000,0,2524000.0,-10048000,-10048000.0,7934000.0,,,
NUE,2020-04-04,19701000.0,54379000.0,-329579000,4995069000,5148461000,5624337000,91918000,-47596000.0,475876000.0,475876000,629268000,153392000.0,20331000,146297000.0,,427865000.0,,
NUE,2019-12-31,107083000.0,134253000.0,-59730000,4691358000,4893786000,5131746000,43977000,-37622000.0,237960000.0,237960000,440388000,167428000.0,107823000,178230000.0,,433310000.0,,
NUE,2019-09-28,273376000.0,293587000.0,-32871000,4887059000,5051292000,5464502000,86752000,-40721000.0,413210000.0,413210000,577443000,164233000.0,275031000,380339000.0,,411986000.0,,
NUE,2019-06-29,384052000.0,412277000.0,-31892000,5115192000,5329472000,5895986000,122345000,-41953000.0,566514000.0,566514000,780794000,214280000.0,386483000,534622000.0,,397291000.0,,
KSU,2020-03-31,151700000.0,152300000.0,-97300000,342700000,436900000,731700000,45200000,-34200000.0,294800000.0,294800000,389000000,,151800000,197500000.0,,323900000.0,4800000.0,
KSU,2019-12-31,127200000.0,127900000.0,-71800000,357300000,450200000,729500000,79600000,-31800000.0,279300000.0,279300000,372200000,,127200000,207500000.0,,323400000.0,4900000.0,
KSU,2019-09-30,180100000.0,180600000.0,-34200000,367300000,458700000,747700000,74200000,-27900000.0,289000000.0,289000000,380400000,,180200000,254800000.0,,322700000.0,4900000.0,
KSU,2019-06-30,128700000.0,129100000.0,-70800000,362400000,455000000,714000000,59100000,-28000000.0,259000000.0,259000000,351600000,,128700000,188200000.0,,322300000.0,4900000.0,
BWFG,2020-03-31,1342000.0,1363000.0,-288000,0,9371000,11173000,151000,,1802000.0,0,11173000,8793000.0,1363000,1514000.0,,,578000.0,
BWFG,2019-12-31,3430000.0,3472000.0,-18000,0,9206000,13620000,924000,,4414000.0,0,13620000,8435000.0,3472000,4396000.0,,,771000.0,
BWFG,2019-09-30,4041000.0,4088000.0,106000,0,8778000,13790000,1030000,,5012000.0,0,13790000,8123000.0,4088000,5118000.0,,,655000.0,
BWFG,2019-06-30,5507000.0,5576000.0,-95000,0,8660000,15772000,1441000,,7112000.0,0,15772000,8021000.0,5576000,7017000.0,,,639000.0,
ITIC,2020-03-31,-7011000.0,-7011000.0,2000,21093000,38430000,29899000,-1518000,,-8531000.0,-8531000,8806000,14224000.0,-7011000,-8529000.0,,,3113000.0,
ITIC,2019-12-31,11380000.0,11380000.0,18000,21441000,38313000,52866000,3191000,,14553000.0,14553000,31425000,13638000.0,11380000,14571000.0,,,3234000.0,
ITIC,2019-09-30,7952000.0,7952000.0,0,20915000,37920000,47939000,2067000,,10019000.0,10019000,27024000,13926000.0,7952000,10019000.0,,,3079000.0,
ITIC,2019-06-30,5500000.0,5500000.0,0,18672000,35813000,42733000,1420000,,6920000.0,6920000,24061000,13913000.0,5500000,6920000.0,,,3228000.0,
CSII,2020-03-31,-2889000.0,-2889000.0,-107000,12225000,63910000,61175000,47000,-501000.0,-2735000.0,-2735000,48950000,41384000.0,-2889000,-2842000.0,9964000.0,,,
CSII,2019-12-31,-3401000.0,-3401000.0,17000,13718000,71708000,68334000,44000,-500000.0,-3374000.0,-3374000,54616000,46867000.0,-3401000,-3357000.0,10786000.0,,,
CSII,2019-09-30,-5780000.0,-5780000.0,191000,12672000,70423000,64490000,38000,-472000.0,-5933000.0,-5933000,51818000,46752000.0,-5780000,-5742000.0,10765000.0,,,
CSII,2019-06-30,1469000.0,1469000.0,255000,13462000,66982000,68234000,38000,-418000.0,1252000.0,1252000,54772000,43995000.0,1469000,1507000.0,9525000.0,,,
BCOR,2020-03-31,-315494000.0,-315494000.0,-282442000,106355000,228852000,263320000,67520000,-5697000.0,34468000.0,34468000,156965000,104438000.0,-315494000,-247974000.0,8515000.0,,,
BCOR,2019-12-31,17328000.0,17328000.0,-6757000,102908000,173920000,149421000,-48584000,-5235000.0,-24499000.0,-24499000,46513000,50709000.0,17328000,-31256000.0,8608000.0,,,
BCOR,2019-09-30,-62386000.0,-62386000.0,-60265000,103663000,163468000,149016000,-12331000,-5836000.0,-14452000.0,-14452000,45353000,39618000.0,-62386000,-74717000.0,8635000.0,,,
BCOR,2019-06-30,31036000.0,31036000.0,-14301000,90626000,156527000,193740000,-8124000,-5230000.0,37213000.0,37213000,103114000,48258000.0,31036000,22912000.0,7159000.0,,,
NBHC,2020-03-31,15800000.0,15824000.0,-768000,0,48412000,68229000,3225000,,19817000.0,0,68229000,43648000.0,15824000,19049000.0,,,4764000.0,
NBHC,2019-12-31,19494000.0,19519000.0,21000,0,45804000,69166000,3864000,,23362000.0,0,69166000,41512000.0,19519000,23383000.0,,,4292000.0,
NBHC,2019-09-30,21617000.0,21642000.0,5261000,0,49054000,70854000,5419000,,21800000.0,0,70854000,44208000.0,21642000,27061000.0,,,4846000.0,
NBHC,2019-06-30,20256000.0,20282000.0,-471000,0,45980000,69912000,3179000,,23932000.0,0,69912000,41393000.0,20282000,23461000.0,,,4587000.0,
PLT,2020-03-28,-677918000.0,-677918000.0,-705418000,227510000,413538000,403043000,-37995000,-22378000.0,-10495000.0,-10495000,175533000,138459000.0,-677918000,-715913000.0,47569000.0,,,
PLT,2019-12-31,-78483000.0,-78483000.0,-43290000,240625000,439372000,384471000,-19708000,-22533000.0,-54901000.0,-54901000,143846000,144978000.0,-78483000,-98191000.0,53769000.0,,,
PLT,2019-09-30,-25910000.0,-25910000.0,-30269000,255638000,461472000,461709000,-4122000,-23797000.0,237000.0,237000,206071000,148419000.0,-25910000,-30032000.0,57415000.0,,,
PLT,2019-06-30,-44871000.0,-44871000.0,-41962000,235121000,458253000,447767000,-7577000,-23932000.0,-10486000.0,-10486000,212646000,163608000.0,-44871000,-52448000.0,59524000.0,,,
BLD,2020-03-31,50771000.0,50771000.0,-8703000,481272000,583039000,653228000,10715000,-8742000.0,70189000.0,70189000,171956000,101767000.0,50771000,61486000.0,,,,
BLD,2019-12-31,45984000.0,45984000.0,-8264000,491032000,586183000,662350000,21919000,-9083000.0,76167000.0,76167000,171318000,95151000.0,45984000,67903000.0,,,,
BLD,2019-09-30,54976000.0,54976000.0,-8854000,502999000,601885000,682330000,16615000,-9507000.0,80445000.0,80445000,179331000,98886000.0,54976000,71591000.0,,,,
BLD,2019-06-30,52051000.0,52051000.0,-9498000,485190000,584073000,660112000,14883000,-9631000.0,76039000.0,76039000,174922000,98883000.0,52051000,66934000.0,,,,
EDU,2020-02-29,137715000.0,117224000.0,33226000,398628000,805968000,923221000,33255000,,117253000.0,117253000,524593000,407340000.0,137715000,150479000.0,,151048000.0,,
EDU,2019-11-30,53437000.0,49583000.0,38361000,358962000,759912000,785211000,14077000,,25299000.0,25299000,426249000,400950000.0,53437000,63660000.0,,161249000.0,,
EDU,2019-08-31,208990000.0,203228000.0,7868000,440229000,825581000,1071777000,50836000,,246196000.0,246196000,631548000,385352000.0,208990000,254064000.0,,158309000.0,,
EDU,2019-05-31,43248000.0,37831000.0,-8534000,371241000,765931000,842851000,30555000,,76920000.0,76920000,471610000,394690000.0,43248000,68386000.0,,164411000.0,,
BANF,2020-03-31,22608000.0,22608000.0,1035000,0,62420000,89635000,5642000,,27215000.0,0,89635000,50840000.0,22608000,28250000.0,,,11580000.0,
BANF,2019-12-31,35507000.0,35507000.0,-730000,0,65566000,108051000,6248000,,42485000.0,0,108051000,51429000.0,35507000,41755000.0,,,14137000.0,
BANF,2019-09-30,33368000.0,33368000.0,-787000,0,61404000,105156000,9597000,,43752000.0,0,105156000,50522000.0,33368000,42965000.0,,,10882000.0,
BANF,2019-06-30,34167000.0,34167000.0,-1399000,0,55209000,100436000,9661000,,45227000.0,0,100436000,45273000.0,34167000,43828000.0,,,9936000.0,
OMI,2020-03-31,-11324000.0,-8909000.0,-36951700,1854134000,2103173300,2122693000,-8523000,-23342000.0,19519700.0,19519700,268559000,254048300.0,-11324000,-17432000.0,,,-5009000.0,-2415000.0
OMI,2019-12-31,-39023000.0,-5353000.0,-37575000,1905911000,2160829000,2190642000,-2409000,-22557000.0,29813000.0,29813000,284731000,254165000.0,-39023000,-7762000.0,,,753000.0,-33670000.0
OMI,2019-09-30,1224000.0,1224000.0,-26858000,2036530000,2372598000,2399017000,-1663000,-25938000.0,26419000.0,26419000,362487000,334223000.0,1224000,-439000.0,,,-101000.0,-33670000.0
OMI,2019-06-30,-10476000.0,-10476000.0,-33337000,2115773000,2462401000,2484200000,-1062000,-27682000.0,21799000.0,21799000,368427000,345892000.0,-10476000,-11538000.0,,,736000.0,-33670000.0
MDLA,2020-04-30,-32529000.0,-32529000.0,175000,39563000,145455000,112691000,-60000,,-32764000.0,-32764000,73128000,73513000.0,-32529000,-32589000.0,32379000.0,,,
MDLA,2020-01-31,-31870000.0,-31870000.0,-3445000,39116000,138866000,110100000,-341000,,-28766000.0,-28766000,70984000,72402000.0,-31870000,-32211000.0,27348000.0,,,
MDLA,2019-10-31,-39620000.0,-39620000.0,2001000,38595000,144741000,103074000,-46000,,-41667000.0,-41667000,64479000,79825000.0,-39620000,-39666000.0,26321000.0,,,
MDLA,2019-07-31,-38284000.0,-38284000.0,431000,34883000,134122000,95670000,263000,,-38452000.0,-38452000,60787000,76546000.0,-38284000,-38021000.0,22693000.0,,,
CAI,2020-03-31,-3537000.0,-1330000.0,-39789000,59611000,69823000,105022000,-3260000,-20376000.0,35199000.0,35199000,45411000,11826000.0,-1330000,-4590000.0,,,-1614000.0,
CAI,2019-12-31,5641000.0,6876000.0,-18885000,57462000,73085000,100167000,1321000,-19109000.0,27082000.0,27082000,42705000,14589000.0,7849000,8197000.0,,,1034000.0,
CAI,2019-09-30,-6954000.0,15165000.0,-20503000,60459000,70750000,107570000,1152000,-20123000.0,36820000.0,36820000,47111000,12702000.0,-4747000,16317000.0,,,-2411000.0,
CAI,2019-06-30,7128000.0,14535000.0,-20640000,58811000,69066000,105576000,1335000,-20021000.0,36510000.0,36510000,46765000,11838000.0,9335000,15870000.0,,,-1583000.0,
SMLP,2020-03-31,-2761000.0,5309000.0,-26379000,30036000,73477000,105137000,-28000,-20218000.0,31660000.0,31660000,75101000,13578000.0,5309000,5281000.0,,62341000.0,234000.0,
SMLP,2019-12-31,-334266000.0,-327083000.0,-359306000,36052000,80454000,112481000,-196000,-19626000.0,32027000.0,32027000,76429000,15895000.0,-327083000,-327279000.0,,27450000.0,234000.0,
SMLP,2019-09-30,-17770000.0,-10645000.0,-39753000,33703000,71292000,100421000,21000,-19335000.0,29129000.0,29129000,66718000,9949000.0,-10645000,-10624000.0,,27450000.0,234000.0,
SMLP,2019-06-30,-2316000.0,4809000.0,-21432000,35289000,72666000,100049000,1142000,-17941000.0,27383000.0,27383000,64760000,10214000.0,4809000,5951000.0,,27450000.0,363000.0,
MIDD,2020-03-28,73779000.0,73779000.0,-28473000,427269000,552522000,677459000,22685000,-15713000.0,124937000.0,124937000,250190000,125253000.0,73779000,96464000.0,,,,
MIDD,2019-12-28,108997000.0,108997000.0,-6271000,497948000,640137000,787626000,32221000,-19275000.0,147489000.0,147489000,289678000,142189000.0,108997000,141218000.0,,,,
MIDD,2019-09-28,82020000.0,82020000.0,-26513000,453986000,591271000,724014000,24210000,-20846000.0,132743000.0,132743000,270028000,137285000.0,82020000,106230000.0,,,,
MIDD,2019-06-29,92210000.0,92210000.0,-23689000,474525000,611859000,761004000,33246000,-21968000.0,149145000.0,149145000,286479000,137334000.0,92210000,125456000.0,,,,
POOL,2020-03-31,30912000.0,30912000.0,-11645000,487659000,634756000,677288000,-25000,-4789000.0,42532000.0,42532000,189629000,147097000.0,30912000,30887000.0,,,,
POOL,2019-12-31,18024000.0,18024000.0,-5182000,420184000,556436000,582234000,2592000,-3934000.0,25798000.0,25798000,162050000,136252000.0,18024000,20616000.0,,,,
POOL,2019-09-30,79525000.0,79525000.0,-5422000,640569000,793960000,898500000,19593000,-5498000.0,104540000.0,104540000,257931000,153391000.0,79525000,99118000.0,,,,
POOL,2019-06-30,131390000.0,131390000.0,-6355000,791014000,948805000,1121328000,34778000,-6424000.0,172523000.0,172523000,330314000,157791000.0,131390000,166168000.0,,,,
AFB,2019-10-31,10661184.0,10826047.0,5363288,0,1064635,6527394,0,-1733979.0,5462759.0,5462759,6527394,1064635.0,10826047,10826047.0,,,,
AFB,2019-07-31,10661184.0,10826047.0,5363288,0,1064635,6527394,0,-1733979.0,5462759.0,5462759,6527394,1064635.0,10826047,10826047.0,,,,
AFB,2019-04-30,16433781.0,16433781.0,10871060,0,1001306,6564027,0,-1615134.0,5562721.0,5562721,6564027,1001306.0,16433781,16433781.0,,,,
AFB,2019-01-31,16433781.0,16433781.0,10871060,0,1001306,6564027,0,-1615134.0,5562721.0,5562721,6564027,1001306.0,16433781,16433781.0,,,,
LIQT,2020-03-31,303499.0,303499.0,107261,7642768,10100915,10281844,-15309,-104856.0,180929.0,180929,2639076,2147193.0,303499,288190.0,310954.0,,,
LIQT,2019-12-31,-797771.0,-797771.0,-32757,4861998,7308650,6246384,-297252,-93161.0,-1062266.0,-1062266,1384386,2288975.0,-797771,-1095023.0,157677.0,,,
LIQT,2019-09-30,656357.0,656357.0,397350,7444978,9413709,9672716,0,-35292.0,259007.0,259007,2227738,1779515.0,656357,656357.0,189216.0,,,
LIQT,2019-06-30,146786.0,146786.0,-246666,7222076,8903734,9297186,0,-36502.0,393452.0,393452,2075110,1482474.0,146786,146786.0,199184.0,,,
SENS,2020-03-31,-42593000.0,-42593000.0,1238000,19670000,43867000,36000,0,-4373000.0,-43831000.0,-43831000,-19634000,16835000.0,-42593000,-42593000.0,7362000.0,,,
SENS,2019-12-31,-35611000.0,-35611000.0,-734000,17197000,43829000,8952000,0,-4340000.0,-34877000.0,-34877000,-8245000,16890000.0,-35611000,-35611000.0,9742000.0,,,
SENS,2019-09-30,-19499000.0,-19499000.0,11865000,7659000,35683000,4319000,0,-6804000.0,-31364000.0,-31364000,-3340000,16948000.0,-19499000,-19499000.0,11076000.0,,,
SENS,2019-06-30,-31074000.0,-31074000.0,3579000,9160000,39260000,4607000,0,-1965000.0,-34653000.0,-34653000,-4553000,19596000.0,-31074000,-31074000.0,10504000.0,,,
FSBW,2020-03-31,5111000.0,5167000.0,-818000,0,15366000,22678000,1327000,,7312000.0,0,22678000,12463000.0,5167000,6494000.0,,,2903000.0,
FSBW,2019-12-31,5871000.0,5918000.0,81000,0,15850000,22382000,695000,,6532000.0,0,22382000,12234000.0,5918000,6613000.0,,,3616000.0,
FSBW,2019-09-30,7116000.0,7144000.0,-510000,0,14212000,23906000,2040000,,9694000.0,0,23906000,10949000.0,7144000,9184000.0,,,3263000.0,
FSBW,2019-06-30,4434000.0,4463000.0,-1684000,0,15387000,22707000,1173000,,7320000.0,0,22707000,12022000.0,4463000,5636000.0,,,3365000.0,
TMBR,2020-03-31,-3518600.0,-3518600.0,-2070482,1018231,1475025,26907,0,-1102606.0,-1448118.0,-1448118,-991324,456794.0,-3518600,-3518600.0,,,,
TMBR,2019-03-31,-88253.0,-88253.0,0,80194,88253,0,0,-1102606.0,-88253.0,-88253,-80194,8059.0,-88253,-88253.0,,,,
FWP,2019-12-31,-685500.0,-685500.0,342000,0,1027500,0,0,,-1027500.0,-1027500,0,816000.0,-685500,-685500.0,211500.0,,,
FWP,2019-09-30,-685500.0,-685500.0,342000,0,1027500,0,0,,-1027500.0,-1027500,0,816000.0,-685500,-685500.0,211500.0,,,
FWP,2019-06-30,-1425000.0,-1425000.0,189000,0,1614000,0,0,,-1614000.0,-1614000,0,1301000.0,-1425000,-1425000.0,313000.0,,,
FWP,2019-03-31,-1425000.0,-1425000.0,189000,0,1614000,0,0,,-1614000.0,-1614000,0,1301000.0,-1425000,-1425000.0,313000.0,,,
ALEC,2020-03-31,-40019000.0,-40019000.0,2059000,34605000,49249000,7171000,0,,-42078000.0,-42078000,-27434000,14644000.0,-40019000,-40019000.0,,,,
ALEC,2019-12-31,-30527000.0,-30527000.0,1815000,25762000,38343000,6001000,0,,-32342000.0,-32342000,-19761000,12581000.0,-30527000,-30527000.0,,,,
ALEC,2019-09-30,-31738000.0,-31738000.0,2411000,28519000,36845000,2696000,0,,-34149000.0,-34149000,-25823000,8326000.0,-31738000,-31738000.0,,,,
ALEC,2019-06-30,-24560000.0,-24560000.0,1434000,25640000,32911000,6917000,0,,-25994000.0,-25994000,-18723000,7271000.0,-24560000,-24560000.0,,,,
DT,2020-03-31,46702000.0,46702000.0,-7185000,27312000,142543000,150577000,-45853000,-5682000.0,8034000.0,8034000,123265000,76859000.0,46702000,849000.0,24509000.0,,,
DT,2019-12-31,1763000.0,1763000.0,-6127000,24881000,135544000,143298000,-136000,-5995000.0,7754000.0,7754000,118417000,74283000.0,1763000,1627000.0,22517000.0,,,
DT,2019-09-30,-417334000.0,-417334000.0,-15167000,35303000,283122000,129378000,248423000,-11834000.0,-153744000.0,-153744000,94075000,186919000.0,-417334000,-168911000.0,46596000.0,,,
DT,2019-06-30,-49155000.0,-49155000.0,-19207000,24986000,155441000,122550000,-2943000,-19186000.0,-32891000.0,-32891000,97564000,90097000.0,-49155000,-52098000.0,25659000.0,,,
ALRS,2020-03-31,5281000.0,5363000.0,-990000,0,35736000,43526000,1437000,,7790000.0,0,43526000,28544000.0,5363000,6800000.0,,,7192000.0,
ALRS,2019-12-31,7519000.0,7652000.0,-990000,0,35445000,46218000,2131000,,10773000.0,0,46218000,13985000.0,7652000,9783000.0,,,21460000.0,
