stock,endDate,capitalExpenditures,changeToNetincome,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,otherCashflowsFromFinancingActivities
TSLX,2019-12-31,,-193044000.0,-694000.0,,-26581000.0,,,-156077000.0,,-2932000.0,6033000.0,37702000,-691000.0,162110000.0,192883000.0,,-948000,,,-4192000.0
TSLX,2019-09-30,,8549000.0,-1933000.0,,-23632000.0,,,47796000.0,,-2932000.0,-1852000.0,30341000,8968000.0,-49648000.0,-26014000.0,,438000,,,-2000.0
TSLX,2019-06-30,,-241032000.0,-905000.0,,-20058000.0,,,-182790000.0,,-2932000.0,312000.0,47795000,9909000.0,183102000.0,203427000.0,,32000,,,-267000.0
LOGC,2020-03-31,,1188000.0,,,,,105000.0,-7538000.0,,,10046000.0,-9455000,-1998000.0,84000.0,,17500000.0,2622000,84000.0,17500000.0,
LOGC,2019-12-31,,767000.0,,,,,100000.0,-11702000.0,,,-4951000.0,-11465000,202000.0,81000.0,,6669000.0,-1306000,81000.0,7000000.0,
LOGC,2019-09-30,,836000.0,,,,,85000.0,-10086000.0,,,13224000.0,-10918000,-420000.0,9906000.0,,13403000.0,331000,61000.0,13738000.0,
LOGC,2019-06-30,,582000.0,,,,,65000.0,-8730000.0,,,-2414000.0,-10048000,424000.0,82000.0,,6232000.0,247000,82000.0,6734000.0,
NUE,2020-04-04,-416557000.0,350291000.0,-124036000.0,-41993000.0,-122940000.0,535000.0,197275000.0,201206000.0,-7163000.0,-39708000.0,-289448000.0,20331000,-228616000.0,-228614000.0,-24183000.0,-254877000.0,-28033000,,150889000.0,-41783000.0
NUE,2019-12-31,-492647000.0,106016000.0,163557000.0,235884000.0,-122792000.0,697000.0,227041000.0,689199000.0,425000.0,-110354000.0,-151760000.0,107823000,-75142000.0,-215874000.0,14719000.0,-625510000.0,-73060000,,-68645000.0,-7700000.0
NUE,2019-09-28,-334699000.0,52877000.0,85768000.0,195642000.0,-122796000.0,697000.0,177885000.0,932359000.0,-66000.0,-277000.0,254573000.0,275031000,131929000.0,-141488000.0,-12362000.0,-536232000.0,68274000,,-216059000.0,-6053000.0
NUE,2019-06-29,-361161000.0,111899000.0,90057000.0,173212000.0,-123074000.0,697000.0,185056000.0,537147000.0,464000.0,-138763000.0,-119015000.0,386483000,55645000.0,-289810000.0,-11351000.0,-366816000.0,-237274000,,-11141000.0,-19377000.0
KSU,2020-03-31,-177000000.0,83700000.0,-2900000.0,5900000.0,-38600000.0,-6300000.0,89400000.0,283200000.0,-4100000.0,-111700000.0,-57800000.0,151800000,-6700000.0,-148300000.0,-2400000.0,-188600000.0,-38000000,4400000.0,-4300000.0,
KSU,2019-12-31,-119400000.0,53100000.0,-2500000.0,5200000.0,-38600000.0,-8700000.0,88000000.0,245500000.0,-4100000.0,-550000000.0,87200000.0,127200000,-23800000.0,-22300000.0,570300000.0,-136000000.0,-1700000,2200000.0,-9700000.0,
KSU,2019-09-30,-155500000.0,33700000.0,23300000.0,-9200000.0,-36000000.0,-1800000.0,86500000.0,316800000.0,-4100000.0,-99800000.0,14000000.0,180200000,-16700000.0,-136600000.0,-2300000.0,-166200000.0,19000000,1500000.0,-11700000.0,
KSU,2019-06-30,-171400000.0,74500000.0,-19000000.0,13200000.0,-36200000.0,1400000.0,87700000.0,268500000.0,-4100000.0,-92400000.0,-45100000.0,128700000,-19300000.0,-129200000.0,-2800000.0,-184400000.0,2700000,3100000.0,-6900000.0,
BWFG,2020-03-31,-40000.0,2411000.0,,,-1092000.0,968000.0,830000.0,-16842000.0,,-1037000.0,131945000.0,1363000,-21555000.0,162116000.0,-25000000.0,-13329000.0,4000,16000.0,2238000.0,189229000.0
BWFG,2019-12-31,-172000.0,-205000.0,,,-1018000.0,968000.0,918000.0,9704000.0,,-1037000.0,-5058000.0,3472000,5547000.0,20601000.0,-25000000.0,-35363000.0,2000,16000.0,4593000.0,21619000.0
BWFG,2019-09-30,-78000.0,297000.0,,,-1019000.0,968000.0,846000.0,-2382000.0,,-1037000.0,4225000.0,4088000,-7708000.0,-8466000.0,-25000000.0,15073000.0,-167000,16000.0,11305000.0,-7447000.0
BWFG,2019-06-30,-279000.0,-1663000.0,,,-1022000.0,968000.0,846000.0,-1191000.0,,-988000.0,-14707000.0,5576000,-6246000.0,-45621000.0,-25000000.0,32105000.0,-86000,23000.0,5068000.0,-43634000.0
ITIC,2020-03-31,-643000.0,12767000.0,193000.0,,-832000.0,10000.0,583000.0,1999000.0,,,-625000.0,-7011000,-5571000.0,-833000.0,,-1791000.0,-543000,,-1163000.0,-1000.0
ITIC,2019-12-31,-466000.0,-4027000.0,107000.0,,-755833.0,1000.0,587000.0,10963000.0,,,-18043000.0,11380000,930000.0,-15873000.0,,-13133000.0,788000,,-12829000.0,-1000.0
ITIC,2019-09-30,-378000.0,419000.0,-799000.0,,-755000.0,1000.0,548000.0,9192000.0,,,7315000.0,7952000,-2134000.0,-755000.0,,-1122000.0,2451000,,-791000.0,-1000.0
ITIC,2019-06-30,-417000.0,892000.0,-1087000.0,,-756000.0,1000.0,570000.0,1608000.0,,,14625000.0,5500000,-102000.0,-755000.0,,13772000.0,2288000,,14101000.0,1000.0
CSII,2020-03-31,-1058000.0,3566000.0,4819000.0,-2597000.0,,,828000.0,356000.0,,-361000.0,4105000.0,-2889000,164000.0,-380000.0,-19000.0,4129000.0,-3795000,,5331000.0,
CSII,2019-12-31,-537000.0,3883000.0,-1584000.0,-1983000.0,,,656000.0,3940000.0,,-379000.0,6528000.0,-3401000,2971000.0,1288000.0,-20000.0,1300000.0,2964000,,2085000.0,
CSII,2019-09-30,-543000.0,4392000.0,1316000.0,-1431000.0,,,974000.0,-5720000.0,,-5506000.0,-15298000.0,-5780000,-6727000.0,-5525000.0,-19000.0,-4053000.0,1536000,,2556000.0,
CSII,2019-06-30,-379000.0,2953000.0,-1045000.0,1246000.0,,,829000.0,5300000.0,,-83000.0,-41043000.0,1469000,1734000.0,2100000.0,-19000.0,-48443000.0,-1886000,,-47839000.0,
BCOR,2020-03-31,-7715000.0,329866000.0,-9066000.0,,,,10168000.0,46864000.0,,-918000.0,82918000.0,-315494000,21085000.0,43769000.0,44687000.0,-7715000.0,9924000,,,
BCOR,2019-12-31,-3614000.0,-37342000.0,519000.0,,,,8930000.0,-3443000.0,,-16575000.0,-12300000.0,17328000,-2819000.0,-5244000.0,9687000.0,-3613000.0,6702000,,,
BCOR,2019-09-30,-3949000.0,26183000.0,3569000.0,,,,11893000.0,-565000.0,,-12316000.0,-11002000.0,-62386000,16395000.0,-11835000.0,-10000.0,1418000.0,3715000,,,
BCOR,2019-06-30,-1695000.0,11208000.0,5178000.0,,,,10831000.0,26576000.0,,-2735000.0,-41537000.0,31036000,-2099000.0,98000000.0,121499000.0,-166156000.0,-29663000,,,
NBHC,2020-03-31,-2161000.0,-879000.0,,,-6260000.0,-197000.0,3597000.0,26242000.0,,-19476000.0,23736000.0,15824000,7700000.0,79136000.0,100599000.0,-81642000.0,0,6000.0,11872000.0,4267000.0
NBHC,2019-12-31,-3461000.0,86670000.0,,,-6260000.0,-22474000.0,3926000.0,103080000.0,,-19476000.0,-6729000.0,19519000,-7035000.0,-105152000.0,-102022000.0,-4657000.0,0,8000.0,28068000.0,3122000.0
NBHC,2019-09-30,-2464000.0,-98209000.0,,,-5945000.0,3449000.0,3736000.0,-59834000.0,,-19476000.0,25760000.0,21642000,12997000.0,74404000.0,33788000.0,11190000.0,0,393000.0,67002000.0,46168000.0
NBHC,2019-06-30,-3591000.0,-46368000.0,,,-5916000.0,-6152000.0,4849000.0,2850000.0,,-19476000.0,-14099000.0,20282000,24087000.0,7942000.0,44880000.0,-24891000.0,0,166000.0,64232000.0,-31188000.0
PLT,2020-03-28,-5896000.0,656180000.0,-1135000.0,42611000.0,-6060000.0,,47532000.0,61664000.0,-2748000.0,-222000.0,57058000.0,-677918000,5209000.0,-413000.0,,-1445000.0,-21078000,5869000.0,1901000.0,
PLT,2019-12-31,-7724000.0,21100000.0,30856000.0,6264000.0,-5988000.0,,57556000.0,-17211000.0,1848000.0,-388000.0,-29621000.0,-78483000,-2500000.0,-6375000.0,,-7883000.0,-45600000,1000.0,-159000.0,
PLT,2019-09-30,-4753000.0,8365000.0,-17667000.0,-13275000.0,-5982000.0,,57376000.0,25217000.0,-2298000.0,-660000.0,-5462000.0,-25910000,8022000.0,-25615000.0,,-2766000.0,-1482000,6027000.0,-155000.0,
PLT,2019-06-30,-4507000.0,-14649000.0,21445000.0,-42309000.0,-5940000.0,,57698000.0,8349000.0,6000.0,-8621000.0,-10605000.0,-44871000,-28286000.0,-13972000.0,,-4988000.0,36392000,589000.0,-481000.0,
BLD,2020-03-31,-15892000.0,4652000.0,-5048000.0,-3964000.0,,,14190000.0,72930000.0,,-24526000.0,2232000.0,50771000,16174000.0,-34474000.0,-7668000.0,-36224000.0,-4173000,,,-2280000.0
BLD,2019-12-31,-11436000.0,14380000.0,24439000.0,-3204000.0,,,13695000.0,88998000.0,,-60550000.0,13216000.0,45984000,-14090000.0,-63928000.0,-3378000.0,-11854000.0,7405000,,,-2280000.0
BLD,2019-09-30,-12118000.0,6315000.0,-10096000.0,3246000.0,,,13467000.0,86515000.0,,-35342000.0,29824000.0,54976000,6923000.0,-38402000.0,-3060000.0,-18289000.0,11294000,,,-2280000.0
BLD,2019-06-30,-11769000.0,6990000.0,-18148000.0,10266000.0,,,13063000.0,72742000.0,,-17770000.0,43489000.0,52051000,546000.0,-19376000.0,-765000.0,-9877000.0,7584000,,,-841000.0
EDU,2020-02-29,,,,,,,,,,,,137715000,,,,,0,,,
EDU,2019-11-30,,,,,,,,,,,,53437000,,,,,0,,,
EDU,2019-08-31,,,,,,,,,,,,208990000,,,,,0,,,
EDU,2019-05-31,,,,,,,,,,,,43248000,,,,,0,,,
BANF,2020-03-31,-11349000.0,8547000.0,,,-10462000.0,5769000.0,4455000.0,35263000.0,,-3098000.0,-319421000.0,22608000,-543000.0,31531000.0,300000.0,-386215000.0,0,232000.0,-90930000.0,44559000.0
BANF,2019-12-31,-7189000.0,7232000.0,,,-10446000.0,-19265000.0,4362000.0,46493000.0,,-1601000.0,166415000.0,35507000,-252000.0,142982000.0,500000.0,-23060000.0,0,1571000.0,63352000.0,152958000.0
BANF,2019-09-30,-6958000.0,-201000.0,,,-9792000.0,1000000.0,4110000.0,40358000.0,,-1601000.0,-2572000.0,33368000,-226000.0,103082000.0,-400000.0,-146012000.0,0,132000.0,-89057000.0,113142000.0
BANF,2019-06-30,-6115000.0,-2008000.0,,,-9786000.0,1126000.0,3773000.0,35447000.0,,-1601000.0,227033000.0,34167000,79000.0,-105995000.0,-4200000.0,297581000.0,0,455000.0,356747000.0,-92464000.0
OMI,2020-03-31,-4771000.0,23868000.0,-7942000.0,39340000.0,-155000.0,,23913000.0,93454000.0,-62000.0,,56306000.0,-11324000,-73144000.0,-31406000.0,-22998000.0,-5680000.0,98743000,,,-8253000.0
OMI,2019-12-31,-4771000.0,23868000.0,-7942000.0,39340000.0,-155000.0,,23913000.0,93454000.0,-62000.0,,56306000.0,-39023000,-73144000.0,-31406000.0,-22998000.0,-5680000.0,0,,,-8253000.0
OMI,2019-09-30,-10204000.0,10705000.0,97332000.0,83675000.0,-154000.0,,29302000.0,110091000.0,-2446000.0,,21664000.0,1224000,37530000.0,-73241000.0,-71912000.0,-12740000.0,-149677000,,,-1175000.0
OMI,2019-06-30,-9346000.0,1973000.0,-773000.0,-27848000.0,-154000.0,,30182000.0,89918000.0,2924000.0,,16100000.0,-10476000,48084000.0,-65558000.0,-64594000.0,-11184000.0,48776000,,,-810000.0
MDLA,2020-04-30,-5374000.0,32649000.0,81689000.0,,,,4487000.0,23113000.0,-380000.0,,117831000.0,-32529000,-28271000.0,71406000.0,41959000.0,23692000.0,-41974000,29447000.0,54275000.0,
MDLA,2020-01-31,-7759000.0,29925000.0,-79895000.0,,,,3928000.0,19468000.0,10000.0,,-69785000.0,-31870000,-8017000.0,13808000.0,-1035000.0,-103071000.0,99112000,17158000.0,-94018000.0,
MDLA,2019-10-31,-9016000.0,36652000.0,-13597000.0,,,,3111000.0,-18420000.0,2000.0,,-67768000.0,-39620000,-578000.0,-13615000.0,-1036000.0,-35735000.0,-9900000,3013000.0,30479000.0,
MDLA,2019-07-31,-3382000.0,33725000.0,-5057000.0,,,,3584000.0,-20884000.0,-5000.0,,299963000.0,-38284000,-6750000.0,328045000.0,-3142000.0,-7193000.0,-12967000,328134000.0,15729000.0,
CAI,2020-03-31,-3234000.0,14067000.0,4409000.0,,-2207000.0,,669000.0,60125000.0,-77000.0,,61303000.0,-1330000,17943000.0,4164000.0,6258000.0,-2909000.0,-3669000,113000.0,,
CAI,2019-12-31,-35683000.0,8774000.0,1308000.0,,-2208000.0,,633000.0,65840000.0,1057000.0,,-2791000.0,7849000,17645000.0,-35125000.0,-7504000.0,-34563000.0,2617000,753000.0,,
CAI,2019-09-30,-67555000.0,19897000.0,3478000.0,,-2206000.0,,462000.0,70264000.0,-797000.0,,-9991000.0,-4747000,15116000.0,-12424000.0,17855000.0,-67034000.0,6314000,197000.0,,
CAI,2019-06-30,-67555000.0,19897000.0,3478000.0,,-2206000.0,,462000.0,70264000.0,-797000.0,,-9991000.0,9335000,15116000.0,-12424000.0,17855000.0,-67034000.0,0,197000.0,,
SMLP,2020-03-31,-18583000.0,13612000.0,18470000.0,,-11702000.0,217000.0,29863000.0,73968000.0,,,39411000.0,5309000,-3516000.0,41842000.0,21000000.0,-76399000.0,9121000,,-58033000.0,-1402000.0
SMLP,2019-12-31,-30628000.0,351198000.0,-12697000.0,,-38041000.0,-30000.0,28507000.0,38918000.0,,,27290000.0,-327083000,-979000.0,13955000.0,77000000.0,-25583000.0,-1143000,,-6925000.0,-52396000.0
SMLP,2019-09-30,-40571000.0,32152000.0,-4874000.0,,-23777000.0,503000.0,27640000.0,47173000.0,,,4515000.0,-10645000,-408000.0,2469000.0,27000000.0,-45127000.0,2187000,,-5409000.0,-754000.0
SMLP,2019-06-30,-50244000.0,15526000.0,8562000.0,,-38025000.0,-40000.0,27163000.0,43535000.0,,,-4765000.0,4809000,-11570000.0,353000.0,139000000.0,-48653000.0,-2050000,,1331000.0,-100622000.0
MIDD,2020-03-28,-9181000.0,2742000.0,33408000.0,-28094000.0,,,26599000.0,87137000.0,-6470000.0,-74600000.0,286543000.0,73779000,-36298000.0,245098000.0,327275000.0,-39222000.0,15001000,,,-7577000.0
MIDD,2019-12-28,-12790000.0,-11700000.0,-26632000.0,37576000.0,,,8910000.0,147681000.0,1572000.0,-74600000.0,7319000.0,108997000,42267000.0,-87060000.0,-87060000.0,-54874000.0,-11737000,,,-7577000.0
MIDD,2019-09-28,-12189000.0,1797000.0,-2050000.0,-710000.0,,,33252000.0,128154000.0,-3031000.0,-58000.0,5494000.0,82020000,26943000.0,-35555000.0,-34295000.0,-84074000.0,-13098000,,,-1202000.0
MIDD,2019-06-29,-13535000.0,9338000.0,-10809000.0,-10622000.0,,,35752000.0,67642000.0,-219000.0,-818000.0,477000.0,92210000,-39093000.0,101281000.0,102099000.0,-168227000.0,-9134000,,,-1202000.0
POOL,2020-03-31,-8340000.0,14225000.0,-124542000.0,-156856000.0,-22147000.0,,7337000.0,19728000.0,-372000.0,-66619000.0,-10775000.0,30912000,-8222000.0,-8149000.0,74552000.0,-21982000.0,256874000,6358000.0,,-293000.0
POOL,2019-12-31,-6436000.0,6741000.0,82847000.0,-82992000.0,-22020000.0,,7188000.0,55523000.0,-457000.0,-66619000.0,-8110000.0,18024000,-23316000.0,-56752000.0,-35857000.0,-6424000.0,46642000,1532000.0,,-407000.0
POOL,2019-09-30,-7733000.0,6349000.0,107733000.0,74207000.0,-21999000.0,,7426000.0,145812000.0,24000.0,-91000.0,-24001000.0,79525000,-2413000.0,-162536000.0,-144885000.0,-7301000.0,-127014000,4439000.0,,-407000.0
POOL,2019-06-30,-12454000.0,5312000.0,-103149000.0,122826000.0,-21934000.0,,7247000.0,68637000.0,-947000.0,-91000.0,32113000.0,131390000,37809000.0,-23148000.0,-6746000.0,-12429000.0,-132798000,5532000.0,,-407000.0
AFB,2019-10-31,,-7010185.0,128254.0,,,,,4354376.0,,,,10826047,8202.0,-4354376.0,,,402058,,,-4354362.0
AFB,2019-07-31,,-7010185.0,128254.0,,,,,4354376.0,,,,10826047,8202.0,-4354376.0,,,402058,,,-4354362.0
AFB,2019-04-30,,-9379458.0,-194142.0,,,,,3765509.0,,,,16433781,1868.0,-3765509.0,,,-3096540,,,392084.0
AFB,2019-01-31,,-9379458.0,-194142.0,,,,,3765509.0,,,,16433781,1868.0,-3765509.0,,,-3096540,,,392084.0
LIQT,2020-03-31,-1064960.0,125913.0,-1241523.0,-125261.0,,,534021.0,-1957670.0,-451087.0,,-3484890.0,303499,-371653.0,-8434.0,-8434.0,-1067699.0,-1182666,,,
